,customerBillingAddress,customerDevice,customerEmail,customerIPAddress,customerPhone,fraudulent,orderAmount,orderId,orderShippingAddress,orderState,transactionId,paymentMethodId,transactionAmount,transactionFailed,paymentMethodRegistrationFailure,paymentMethodType,paymentMethodProvider,paymentMethodIssuer
0,"5493 Jones Islands
Brownside, CA 51896",yyeiaxpltf82440jnb3v,josephhoward@yahoo.com,8.129.104.40,400-108-5415,False,18,vjbdvd,"5493 Jones Islands
Brownside, CA 51896",pending,a9lcj51r,wt07xm68b,18,False,True,card,JCB 16 digit,Citizens First Banks
1,"5493 Jones Islands
Brownside, CA 51896",yyeiaxpltf82440jnb3v,josephhoward@yahoo.com,8.129.104.40,400-108-5415,False,26,yp6x27,"5493 Jones Islands
Brownside, CA 51896",fulfilled,y4wcv03i,wt07xm68b,26,False,True,card,JCB 16 digit,Citizens First Banks
2,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",r0jpm7xaeqqa3kr6mzum,evansjeffery@yahoo.com,219.173.211.202,1-788-091-7546,True,45,nlghpa,"898 Henry Ports
New Keithview, CA 95893-2497",fulfilled,5mi94sfw,41ug157xz,45,False,False,bitcoin,American Express,Bastion Banks
3,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",r0jpm7xaeqqa3kr6mzum,evansjeffery@yahoo.com,219.173.211.202,1-788-091-7546,True,23,uw0eeb,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",fulfilled,br8ba1nu,41ug157xz,23,False,False,bitcoin,American Express,Bastion Banks
4,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",r0jpm7xaeqqa3kr6mzum,evansjeffery@yahoo.com,219.173.211.202,1-788-091-7546,True,43,bn44oh,"5093 Bryan Forks
Joshuaton, FM 01565-9801",fulfilled,a33145ss,y3xp697jx,43,True,True,bitcoin,VISA 16 digit,Solace Banks
5,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",4m7h5ipl1shyavt6vv2r,andersonwilliam@yahoo.com,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,024.420.0375,False,33,yk34y2,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",failed,q3lyvbza,8pneoi03z,33,False,False,card,JCB 16 digit,Bastion Banks
6,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",4m7h5ipl1shyavt6vv2r,andersonwilliam@yahoo.com,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,024.420.0375,False,24,28v6b0,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",fulfilled,3alf9irw,8pneoi03z,24,True,False,card,JCB 16 digit,Bastion Banks
7,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",4m7h5ipl1shyavt6vv2r,andersonwilliam@yahoo.com,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,024.420.0375,False,24,28v6b0,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",fulfilled,69w9wymx,8pneoi03z,24,False,False,card,JCB 16 digit,Bastion Banks
8,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",4m7h5ipl1shyavt6vv2r,andersonwilliam@yahoo.com,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,024.420.0375,False,25,itnk8y,"22396 Victor Lights
Carsonstad, MO 93914",fulfilled,uo3slwh7,8pneoi03z,25,False,False,card,JCB 16 digit,Bastion Banks
9,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",4m7h5ipl1shyavt6vv2r,andersonwilliam@yahoo.com,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,024.420.0375,False,25,itnk8y,"22396 Victor Lights
Carsonstad, MO 93914",fulfilled,pegqc4ud,dluy3jka0,25,True,False,card,Discover,His Majesty Bank Corp.
10,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",slovx60t0i558may4ks0,rubenjuarez@yahoo.com,95de:8565:5a66:792c:26e0:6cfb:7d87:11af,670.664.8168x94985,False,34,fbz9ep,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",fulfilled,vx4cjc27,pdxjdwui4,34,False,False,card,Voyager,Grand Credit Corporation
11,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",slovx60t0i558may4ks0,rubenjuarez@yahoo.com,95de:8565:5a66:792c:26e0:6cfb:7d87:11af,670.664.8168x94985,False,26,7odnn6,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",fulfilled,yiay9b0n,pdxjdwui4,26,False,False,card,Voyager,Grand Credit Corporation
12,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",slovx60t0i558may4ks0,rubenjuarez@yahoo.com,95de:8565:5a66:792c:26e0:6cfb:7d87:11af,670.664.8168x94985,False,25,audx7o,"428 Ricardo Mountain
Port Lorihaven, UT 07665-3981",fulfilled,sn3v0ql2,pdxjdwui4,25,False,False,card,Voyager,Grand Credit Corporation
13,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",j0pd24k5h8dl2fqu0cz4,uchen@malone.com,196.89.235.192,1-981-877-0870,True,71,56h7iw,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",fulfilled,q8j3dgni,olr4zf09x,71,False,False,card,VISA 13 digit,Grand Credit Corporation
14,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",j0pd24k5h8dl2fqu0cz4,uchen@malone.com,196.89.235.192,1-981-877-0870,True,66,kowj1v,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",fulfilled,xjulqy8x,gehl28i8u,66,True,False,card,JCB 16 digit,Bastion Banks
15,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",j0pd24k5h8dl2fqu0cz4,uchen@malone.com,196.89.235.192,1-981-877-0870,True,69,wlznfu,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",failed,rvm65vr1,gehl28i8u,69,False,False,card,JCB 16 digit,Bastion Banks
16,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",j0pd24k5h8dl2fqu0cz4,uchen@malone.com,196.89.235.192,1-981-877-0870,True,46,hm3rth,"620 Alexander Views
Michaelstad, AK 94959-7484",fulfilled,kckrvagp,76bw9eqg2,46,True,False,apple pay,VISA 16 digit,His Majesty Bank Corp.
17,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",j0pd24k5h8dl2fqu0cz4,uchen@malone.com,196.89.235.192,1-981-877-0870,True,59,xwo0al,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",fulfilled,yd80pfko,76bw9eqg2,59,False,False,apple pay,VISA 16 digit,His Majesty Bank Corp.
18,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",j0pd24k5h8dl2fqu0cz4,uchen@malone.com,196.89.235.192,1-981-877-0870,True,68,vvq05w,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",fulfilled,2slep8t9,s6escw45g,68,False,False,card,JCB 16 digit,Solace Banks
19,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",j0pd24k5h8dl2fqu0cz4,uchen@malone.com,196.89.235.192,1-981-877-0870,True,32,2528x8,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",fulfilled,ckk3ux58,w1i1zq3rg,32,False,False,apple pay,American Express,Grand Credit Corporation
20,"65233 Hutchinson Mountains
Martinezside, OR 75588",hbww39m1wenbq4ymjhsx,robinsoncynthia@dunn.com,43.166.163.164,+65(5)8997489788,True,25,vq7j5b,"764 Collier Springs
Jackfurt, NE 95955-5328",pending,67qcpl0r,n5fj5bc0e,25,False,False,card,VISA 16 digit,p
21,"3960 Emily Fort
Staceytown, AR 21817-3325",up7afvce5v0omniqlevq,samuel15@saunders-rhodes.com,33.67.35.30,05045239487,True,40,sq7rk9,"9447 Cook Extensions
Rebeccahaven, NY 78148-0238",fulfilled,9jutaun8,je76d0ulj,40,True,False,apple pay,VISA 13 digit,x
22,"3960 Emily Fort
Staceytown, AR 21817-3325",up7afvce5v0omniqlevq,samuel15@saunders-rhodes.com,33.67.35.30,05045239487,True,40,sq7rk9,"9447 Cook Extensions
Rebeccahaven, NY 78148-0238",fulfilled,lla8uo92,je76d0ulj,40,False,False,apple pay,VISA 13 digit,x
